year,pt,rs,herb,tillage,yield_bu
2019,early,15,yes,till,102
2019,early,15,yes,notill,78.2
2019,early,15,no,till,95.9
2019,early,15,no,notill,74
2019,early,30,yes,till,96.5
2019,early,30,yes,notill,79.4
2019,early,30,no,till,91.3
2019,early,30,no,notill,90.9
2019,late,15,yes,till,68.4
2019,late,15,yes,notill,70.9
2019,late,15,no,till,77.3
2019,late,15,no,notill,68.2
2019,late,30,yes,till,80.6
2019,late,30,yes,notill,70.5
2019,late,30,no,till,78.9
2019,late,30,no,notill,73.7
2019,late,15,no,till,82.8
2019,early,30,no,till,96.5
2019,late,15,no,notill,82.7
2019,late,30,no,notill,77.4
2019,late,30,no,till,71
2019,early,30,no,notill,94.7
2019,early,15,yes,notill,87.9
2019,late,15,yes,till,78.5
2019,early,15,no,till,101.2
2019,late,30,yes,till,78.6
2019,late,15,yes,notill,71.2
2019,late,30,yes,notill,68.6
2019,early,15,yes,till,92.7
2019,early,30,yes,notill,80.8
2019,early,30,yes,till,85.5
2019,early,15,no,notill,83.6
2019,late,30,no,notill,97.8
2019,early,30,no,till,96.2
2019,late,15,no,till,78.9
2019,early,30,yes,till,98.7
2019,early,15,yes,notill,89.1
2019,early,30,yes,notill,89.1
2019,early,30,no,notill,84.8
2019,early,15,no,notill,94.6
2019,late,15,yes,notill,66.5
2019,early,15,yes,till,96.8
2019,late,30,yes,notill,63.7
2019,early,15,no,till,89.5
2019,late,30,no,till,79
2019,late,15,no,notill,81.4
2019,late,15,yes,till,83.1
2019,late,30,yes,till,78.8
2019,early,30,no,notill,77.8
2019,early,15,no,till,94.6
2019,early,30,yes,till,96.7
2019,late,30,no,till,80.2
2019,early,15,no,notill,86.7
2019,late,15,yes,till,79.4
2019,late,30,no,notill,72.8
2019,early,30,yes,notill,82.5
2019,late,15,no,till,71.5
2019,early,15,yes,till,89.1
2019,early,15,yes,notill,81.6
2019,late,15,no,notill,73.5
2019,early,30,no,till,92
2019,late,30,yes,till,76.8
2019,late,30,yes,notill,85
2019,late,15,yes,notill,73.8
2020,early,15,yes,till,57.2
2020,early,15,yes,notill,56.8
2020,early,15,no,till,67.7
2020,early,15,no,notill,64
2020,early,30,yes,till,66.9
2020,early,30,yes,notill,55.3
2020,early,30,no,till,61.7
2020,early,30,no,notill,58.8
2020,late,15,yes,till,59.3
2020,late,15,yes,notill,58.8
2020,late,15,no,till,71.2
2020,late,15,no,notill,69.7
2020,late,30,yes,till,66.2
2020,late,30,yes,notill,59
2020,late,30,no,till,62.9
2020,late,30,no,notill,60.8
2020,late,15,no,till,52.3
2020,early,30,no,till,57.4
2020,late,15,no,notill,60.2
2020,late,30,no,notill,60
2020,late,30,no,till,63.1
2020,early,30,no,notill,62.2
2020,early,15,yes,notill,59.2
2020,late,15,yes,till,64.9
2020,early,15,no,till,74.3
2020,late,30,yes,till,62.1
2020,late,15,yes,notill,59
2020,late,30,yes,notill,55.8
2020,early,15,yes,till,69.9
2020,early,30,yes,notill,59.6
2020,early,30,yes,till,63.9
2020,early,15,no,notill,63.4
2020,late,30,no,notill,52.8
2020,early,30,no,till,64.9
2020,late,15,no,till,66
2020,early,30,yes,till,74.6
2020,early,15,yes,notill,59.5
2020,early,30,yes,notill,56.2
2020,early,30,no,notill,57
2020,early,15,no,notill,56.7
2020,late,15,yes,notill,49.5
2020,early,15,yes,till,58.9
2020,late,30,yes,notill,45.4
2020,early,15,no,till,56.7
2020,late,30,no,till,58.8
2020,late,15,no,notill,52.5
2020,late,15,yes,till,57.1
2020,late,30,yes,till,55.1
2020,early,30,no,notill,58.5
2020,early,15,no,till,62.5
2020,early,30,yes,till,62.7
2020,late,30,no,till,62.3
2020,early,15,no,notill,55.6
2020,late,15,yes,till,57.2
2020,late,30,no,notill,56.2
2020,early,30,yes,notill,65.4
2020,late,15,no,till,67.9
2020,early,15,yes,till,71.8
2020,early,15,yes,notill,67.4
2020,late,15,no,notill,61.7
2020,early,30,no,till,64.9
2020,late,30,yes,till,60.3
2020,late,30,yes,notill,57.4
2020,late,15,yes,notill,57.8
